ID PinchLargeTime PinchSmallTime PinchLargeHit PinchSmallHit PinchLargeDist PinchSmallDist PinchLargeXDist PinchSmallXDist PinchLargeYDist PinchSmallYDist SwipeLargeTime SwipeSmallTime SwipeLargeHit SwipeSmallHit SwipeLargeDist SwipeSmallDist SwipeLargeXDist SwipeSmallXDist SwipeLargeYDist SwipeSmallYDist ThrowLargeTime ThrowSmallTime ThrowLargeHit ThrowSmallHit ThrowLargeDist ThrowSmallDist ThrowLargeXDist ThrowSmallXDist ThrowLargeYDist ThrowSmallYDist TiltLargeTime TiltSmallTime TiltLargeHit TiltSmallHit TiltLargeDist TiltSmallDist TiltLargeXDist TiltSmallXDist TiltLargeYDist TiltSmallYDist
20 5 6 0 0 0.199999999999989 72.9998630135701 0 21.7 0.199999999999989 69.7 4 4 1 1 0 0 0 0 0 0 4 5 1 1 0 0 0 0 0 0 2 4 1 1 0 0 0 0 0 0
20 6 11 1 1 0 0 0 0 0 0 3 5 1 1 0 0 0 0 0 0 5 4 1 1 0 0 0 0 0 0 4 4 1 0 0 31.7 0 31.7 0 0
20 10 7 1 0 0 43.1770772517084 0 39.9 0 16.5 4 4 1 1 0 0 0 0 0 0 4 4 1 1 0 0 0 0 0 0 3 4 1 1 0 0 0 0 0 0
21 6 7 1 0 0 1 0 1 0 1 21 4 1 1 0 0 0 0 0 0 6 8 1 1 0 0 0 0 0 0 8 10 1 1 0 0 0 0 0 0
21 4 14 1 0 0 261.944154353557 0 260.7 0 25.5 4 9 1 1 0 0 0 0 0 0 6 5 1 1 0 0 0 0 0 0 6 6 1 1 0 0 0 0 0 0
21 10 15 0 1 643.005015532538 0 632.4 0 116.3 0 5 4 1 1 0 0 0 0 0 0 5 5 1 1 0 0 0 0 0 0 6 6 1 1 0 0 0 0 0 0
21 4 6 1 1 0 0 0 0 0 0 4 5 1 1 0 0 0 0 0 0 6 11 1 1 0 0 0 0 0 0 9 6 1 1 0 0 0 0 0 0
21 5 22 1 1 0 0 0 0 0 0 5 6 1 1 0 0 0 0 0 0 6 5 1 0 0 24.9000000000001 0 24.9000000000001 0 0 16 11 1 1 0 0 0 0 0 0
21 3 3 0 0 175.4 94.0850678907126 0 94 175.4 4 4 6 1 1 0 0 0 0 0 0 6 7 1 1 0 0 0 0 0 0 5 10 1 1 0 0 0 0 0 0
21 15 7 1 1 0 0 0 0 0 0 5 8 1 1 0 0 0 0 0 0 6 6 1 1 0 0 0 0 0 0 5 15 1 1 0 0 0 0 0 0
21 6 5 1 1 0 0 0 0 0 0 7 8 1 1 0 0 0 0 0 0 5 7 1 1 0 0 0 0 0 0 5 2 1 0 0 356.973080217542 0 103.3 0 341.7
21 4 6 1 0 0 43.9013667213221 0 43.7 0 4.19999999999999 3 9 1 1 0 0 0 0 0 0 5 6 1 1 0 0 0 0 0 0 4 7 1 1 0 0 0 0 0 0
22 6 9 1 1 0 0 0 0 0 0 6 4 1 1 0 0 0 0 0 0 6 10 1 1 0 0 0 0 0 0 3 13 0 0 115.700172860718 63.6201226028369 115.7 1.60000000000002 0.199999999999989 63.6
22 6 8 1 0 0 14.9 0 14.9 0 0 4 6 1 1 0 0 0 0 0 0 5 6 1 1 0 0 0 0 0 0 21 1 1 0 0 389.344320621221 0 242 0 305
22 6 6 1 1 0 0 0 0 0 0 3 6 1 1 0 0 0 0 0 0 6 5 0 1 905.650351957089 0 828.4 0 366 0 5 7 1 1 0 0 0 0 0 0
22 6 6 1 1 0 0 0 0 0 0 4 5 1 1 0 0 0 0 0 0 5 6 1 1 0 0 0 0 0 0 3 1 1 0 0 510.892943775895 0 510.2 0 26.6
22 7 21 1 1 0 0 0 0 0 0 3 6 1 1 0 0 0 0 0 0 12 14 1 0 0 7.30000000000001 0 7.30000000000001 0 0 4 1 1 0 0 415.455797889499 0 414.4 0 29.6
22 7 11 1 1 0 0 0 0 0 0 9 5 1 0 0 15.4 0 0 0 15.4 5 6 1 1 0 0 0 0 0 0 3 8 1 0 0 13.3 0 13.3 0 0
22 8 4 1 0 0 501.810681432749 0 263.6 0 427 5 5 1 1 0 0 0 0 0 0 7 6 1 1 0 0 0 0 0 0 5 7 1 1 0 0 0 0 0 0
22 5 4 1 1 0 0 0 0 0 0 3 5 1 1 0 0 0 0 0 0 4 6 1 0 0 0.299999999999955 0 0.299999999999955 0 0 1 6 0 1 455.540843393872 0 455.5 0 6.09999999999999 0
22 5 5 1 1 0 0 0 0 0 0 4 4 1 1 0 0 0 0 0 0 6 3 1 1 0 0 0 0 0 0 3 4 0 1 10.9 0 0 0 10.9 0
23 11 7 0 1 754.015278359796 0 574.8 0 488 0 3 4 1 1 0 0 0 0 0 0 3 5 1 0 0 3.5 0 3.5 0 0 4 5 1 0 0 9.29999999999995 0 9.29999999999995 0 0
23 3 12 0 1 366 0 0 0 366 0 4 4 1 1 0 0 0 0 0 0 4 6 0 1 1 0 0 0 1 0 5 7 1 1 0 0 0 0 0 0
23 86 19 1 1 0 0 0 0 0 0 3 3 1 1 0 0 0 0 0 0 5 5 1 1 0 0 0 0 0 0 4 10 1 1 0 0 0 0 0 0
